chart_id,category,label,value,unit,source,confidence
agent_adoption,market_data,Enterprise apps with AI agents (2024),5,percent,Gartner Aug 2025,CONFIRMED
agent_adoption,market_data,Enterprise apps with AI agents (2026 projected),40,percent,Gartner Aug 2025,CONFIRMED
agent_adoption,market_data,Enterprises deploying autonomous agents (2025),25,percent,Deloitte 2025,CONFIRMED
agent_adoption,market_data,Enterprises deploying autonomous agents (2027 projected),50,percent,Deloitte 2025,CONFIRMED
github_stars,openclaw_growth,OpenClaw Week 1 (Jan 2026),9000,stars,DigitalOcean Jan 2026,CONFIRMED
github_stars,openclaw_growth,OpenClaw Week 2 (Jan 2026),60000,stars,DigitalOcean Jan 2026,CONFIRMED
github_stars,openclaw_growth,OpenClaw Week 4 (Jan 2026),149000,stars,Adaptavist Feb 2026,CONFIRMED
github_stars,openclaw_growth,OpenClaw Week 6 (Feb 2026),185000,stars,LinkedIn Cole Medin,CONFIRMED
github_stars,framework_comparison,LangChain/LangGraph,100000,stars,GitHub Feb 2026,CONFIRMED
github_stars,framework_comparison,Dify,60000,stars,GitHub Feb 2026,CONFIRMED
github_stars,framework_comparison,AutoGen,40000,stars,GitHub Feb 2026,CONFIRMED
github_stars,framework_comparison,LlamaIndex,40000,stars,GitHub Feb 2026,CONFIRMED
github_stars,framework_comparison,CrewAI,25000,stars,GitHub Feb 2026,CONFIRMED
github_stars,framework_comparison,Semantic Kernel,25000,stars,GitHub Feb 2026,CONFIRMED
github_stars,framework_comparison,Haystack,18000,stars,GitHub Feb 2026,CONFIRMED
github_stars,framework_comparison,OpenAI Agents SDK,15000,stars,GitHub Feb 2026,CONFIRMED
github_stars,framework_comparison,Clawdia,1,stars,GitHub Feb 2026,CONFIRMED
benchmarks,claude_opus_46,OSWorld (computer use),72.7,percent,Anthropic Feb 2026,CONFIRMED
benchmarks,claude_opus_46,SWE-bench Verified,80.8,percent,Anthropic Feb 2026,CONFIRMED
benchmarks,claude_opus_46,Terminal-Bench 2.0,65.4,percent,Anthropic Feb 2026,CONFIRMED
benchmarks,claude_opus_46,Cybersecurity blind wins,95,percent,Anthropic Feb 2026,CONFIRMED
model_pricing,input_cost,Claude Opus 4.6,5.00,usd_per_m_tokens,Anthropic Feb 2026,CONFIRMED
model_pricing,input_cost,Claude Sonnet 4.5,3.00,usd_per_m_tokens,Anthropic Feb 2026,CONFIRMED
model_pricing,input_cost,Claude Haiku 3.5,0.80,usd_per_m_tokens,Anthropic Feb 2026,CONFIRMED
model_pricing,input_cost,GPT-5 (beta),10.00,usd_per_m_tokens,OpenAI Feb 2026,INFERRED
model_pricing,input_cost,GPT-4.1,2.00,usd_per_m_tokens,OpenAI 2025,CONFIRMED
model_pricing,input_cost,Gemini 3.0 Ultra,5.00,usd_per_m_tokens,Google 2026,INFERRED
model_pricing,output_cost,Claude Opus 4.6,25.00,usd_per_m_tokens,Anthropic Feb 2026,CONFIRMED
model_pricing,output_cost,Claude Sonnet 4.5,15.00,usd_per_m_tokens,Anthropic Feb 2026,CONFIRMED
model_pricing,output_cost,Claude Haiku 3.5,4.00,usd_per_m_tokens,Anthropic Feb 2026,CONFIRMED
model_pricing,output_cost,GPT-5 (beta),30.00,usd_per_m_tokens,OpenAI Feb 2026,INFERRED
model_pricing,output_cost,GPT-4.1,8.00,usd_per_m_tokens,OpenAI 2025,CONFIRMED
model_pricing,output_cost,Gemini 3.0 Ultra,15.00,usd_per_m_tokens,Google 2026,INFERRED
security_comparison,vulnerabilities,OpenClaw (Jan 2026 audit),512,count,Kaspersky Feb 2026,CONFIRMED
security_comparison,exposed_instances,OpenClaw (SecurityScorecard),40214,count,SecurityScorecard Feb 2026,CONFIRMED
